,name,model,manufacturer,cost_in_credits,length
0,CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000,150
1,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000,"1,600"
2,Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38
3,Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000
4,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000,34.37
5,Y-wing,BTL Y-wing,Koensayr Manufacturing,134999,14
6,X-wing,T-65 X-wing,Incom Corporation,149999,12.5
7,TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,unknown,9.2
8,Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000
9,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",unknown,90
